name,number,type,address,city,state,zip,lat,lng
SPFD,11,STATION,140 LONCZAK DRIVE,CHICOPEE,MA,1022,42.1859907,-72.55298924
NRTH,13,STATION,1 BEEMAN ROAD,NORTHBOROUGH,MA,1532,42.3118463,-71.60675887
WORC,16,STATION,100 PINE HILL DRIVE,BOYLSTON,MA,1505,42.3278981,-71.7284782
NATK,17,STATION,30 SUPERIOR DRIVE,NATICK,MA,1760,42.30123972,-71.37932905
WLMG,18,STATION,45 INDUSTRIAL WAY,WILMINGTON,MA,1887,42.528588,-71.1407668
NBIL,20,STATION,90 SALEM ROAD,NORTH BILLERICA,MA,1862,42.5760406,-71.2670041
ANDO,21,STATION,375 BALLARDVALE ST.,WILMINGTON,MA,1887,42.6084638,-71.1582429
QUIC,22,STATION,520 COMMANDER SHEA BLVD,QUINCY,MA,2171,42.2915666,-71.0311393
BRKT,24,STATION,985 BELMONT STREET,BROCKTON,MA,2301,42.06450365,-71.05724695
MVYD,25,SUBSTATION,19 NORTH LINE ROAD,EDGARTOWN,MA,2539,41.3926954,-70.60647725
CAPE,26,STATION,17 COWAN DRIVE,MIDDLEBORO,MA,2346,41.8137439,-70.79896188
NNTK,27,SUBSTATION,9 NANCY LANE,NANTUCKET,MA,2554,41.26007855,-70.0767454
SEEK,28,STATION,1977 FALL RIVER AVENUE,SEEKONK,MA,2771,41.78028882,-71.29707108
PROV,29,STATION,29 GREEN EARTH WAY,JOHNSTON,RI,2919,41.7969136,-71.5147308
MANC,31,STATION,44 INDUSTRIAL DRIVE,LONDONDERRY,NH,3053,42.91147045,-71.43295785
KEEN,34,STATION,40 COACHMAN ROAD,WEST CHESTERFIELD,NH,3466,42.8901913,-72.4866501
LITT,35,STATION,883 INDUSTRIAL PARK DRIVE,LITTLETON,NH,3561,44.2910904,-71.7987086
LEBN,37,STATION,30 PLAZA HEIGHTS ROAD,WEST LEBANON,NH,3784,43.62501415,-72.31754425
BIDD,40,STATION,1 BAKERS WAY,BIDDEFORD,ME,4005,43.473925,-70.48452597
PTLD,41,STATION,115 INDUSTRIAL PARK ROAD,SACO,ME,4072,43.5400018,-70.4381177
AUME,43,STATION,380 RIVER ROAD,LEWISTON,ME,4240,44.0518161,-70.1879984
BANG,44,STATION,27 MACK LANE,BANGOR,ME,4401,44.7769412,-68.8731255
HLTN,47,STATION,191 LUDLOW ROAD,HOULTON,ME,4730,46.1410845,-67.8588475
BRLT,54,STATION,635 COMMUNITY DRIVE,SOUTH BURLINGTON,VT,5403,44.4481187,-73.14328837
NSRF,59,STATION,495 LORDSHIP BOULEVARD,STRATFORD,CT,6615,41.168915,-73.1521816
HARL,60,HUB LOCAL,350 RUBY ROAD,WILLINGTON,CT,6279,41.92095624,-72.25992803
HART,61,HUB,350 RUBY ROAD,WILLINGTON,CT,6279,41.92095624,-72.25992803
MIDD,62,HUB,49 FEDEX DRIVE,MIDDLETOWN,CT,6457,41.59794895,-72.71789375
WNDS,63,STATION,759 RAINBOW ROAD,WINDSOR,CT,6095,41.9123992,-72.6818524
SWND,64,STATION,40 KENNEDY ROAD,SOUTH WINDSOR,CT,6074,41.855001,-72.5824979
NHVN,66,STATION,29 TOELLES ROAD,WALLINGFORD,CT,6492,41.4280144,-72.8428308
NEWK,67,STATION,173 DOREMUS AVE #269,NEWARK,NJ,7105,40.7275747,-74.1243558
STRA,68,STATION,825 LORDSHIP BLVD,STRATFORD,CT,6615,41.16782942,-73.14580936
ELMS,69,STATION,300 WATERSIDE DRIVE,ELMSFORD,NY,10523,41.0662508,-73.8193857
SECA,70,STATION,1049 SECAUCUS ROAD,JERSEY CITY,NJ,7307,40.7605218,-74.0518202
METU,72,HUB,25-53 TALMADGE ROAD,EDISON,NJ,8817,40.52794058,-74.39003822
METX,73,STATION,25-53 TALMADGE ROAD,EDISON,NJ,8817,40.52794058,-74.39003822
WAYN,74,STATION,95 DEMAREST DRIVE,WAYNE,NJ,7470,40.90284035,-74.26074417
DOVR,75,STATION,1 COMMERCE CENTER DRIVE,DOVER,NJ,7801,40.89774945,-74.55561187
MOON,76,STATION,1 CHIPPEWA STREET,SOUTH HACKENSACK,NJ,7606,40.862605,-74.048625
EBRN,80,STATION,39 EDGEBORO ROAD,EAST BRUNSWICK,NJ,8816,40.467576,-74.397013
CAMD,81,STATION,5 COMMERCE DRIVE,BARRINGTON,NJ,8007,39.8627635,-75.0418803
NWRS,83,STATION,173 DOREMUS AVE #269,NEWARK,NJ,7105,40.7275747,-74.1243558
PRNC,85,STATION,63 STULTS ROAD,DAYTON,NJ,8810,40.3577331,-74.4827856
ROBB,86,STATION,584 US ROUTE 130,TRENTON,NJ,8691,40.1885819,-74.6559624
LWOO,88,HUB LOCAL,6000 RIVERSIDE DR,KEASBEY,NJ,8832,40.5079404,-74.3267161
WOOD,89,HUB,6000 RIVERSIDE DR,KEASBEY,NJ,8832,40.5079404,-74.3267161
NYNY,100,STATION,300 MASPETH AVE.,BROOKLYN,NY,11211,40.71700695,-73.93144763
SUNY,103,STATION,46-06 57TH AVENUE,MASPETH,NY,11378,40.7254074,-73.9251437
BRNX,104,STATION,635 ZEREGA AVENUE,BRONX,NY,10473,40.82059047,-73.84220829
WTPL,106,STATION,109 FAIRVIEW PARK DRIVE,ELMSFORD,NY,10523,41.067865,-73.8211761
YONK,107,STATION,10 HERRMANN PLACE,YONKERS,NY,10710,40.9552919,-73.85848241
SPVY,108,STATION,9 AL FOXIE WAY,BLAUVELT,NY,10913,41.0813778,-73.9554702
CANR,110,STATION,570 E. 108th STREET,BROOKLYN,NY,11236,40.6518058,-73.89731253
LWRC,111,STATION,1 JOHNSON ROAD,LAWRENCE,NY,11559,44.596017,-75.326698
QUEE,114,STATION,29-01 BORDEN AVE,LONG ISLAND CITY,NY,11101,40.7393197,-73.9409928
GARD,115,STATION,160 GRUMMAN ROAD WEST,BETHPAGE,NY,11714,40.7433354,-73.49031335
NBTH,116,STATION,1 AEROSPACE BOULEVARD,BETHPAGE,NY,11714,40.75754195,-73.49100371
LNGI,117,STATION,5901 VETERANS MEMORIAL HWY,HOLBROOK,NY,11741,40.77368315,-73.06272858
SCTY,121,SUBSTATION,900 ROTTERDAM INDUSTRIAL PARK,SCHENECTADY,NY,12306,42.7828509,-73.98634245
ALBA,122,STATION,253 TROY ROAD,RENSSELAER,NY,12144,42.63621135,-73.70285702
NWBG,125,STATION,3 ENTERPRISE DRIVE,NEWBURGH,NY,12550,41.51312585,-74.11580733
MOTG,127,STATION,201 NEELYTOWN ROAD,MONTGOMERY,NY,12549,41.4966297,-74.2241744
PLAT,129,STATION,82 GATEWAY DRIVE,PLATTSBURGH,NY,12901,44.778699,-73.43199101
ESYR,130,STATION,6650 NEW VENTURE GEAR DR,EAST SYRACUSE,NY,13057,43.09158975,-76.06042177
SYRL,131,HUB LOCAL,7020 VAN BUREN ROAD,SYRACUSE,NY,13209,43.11195125,-76.29348337
SYRA,132,HUB,7020 VAN BUREN ROAD,SYRACUSE,NY,13209,43.11195125,-76.29348337
UTIC,135,STATION,101 CANDELLA EXPRESS DRIVE,MARCY,NY,13403,43.1356638,-75.273347
WATE,136,STATION,21043 COUNTY ROUTE 200,WATERTOWN,NY,13601,43.9938308,-75.9515803
CONK,139,STATION,299 BROOME CORPORATE PARKWAY,CONKLIN,NY,13748,42.0544901,-75.8182348
CHEK,141,SUBSTATION,2799 WALDEN AVE,CHEEKTOWAGA,NY,14225,42.9078082,-78.7312316
BUFF,142,STATION,3779 LAKE SHORE ROAD,BUFFALO,NY,14219,42.7805181,-78.8463071
EROC,145,STATION,5980 COLLET ROAD,FARMINGTON,NY,14425,42.9857502,-77.3516447
ROCH,146,STATION,225 THRUWAY PARK,WEST HENRIETTA,NY,14586,43.0425461,-77.67496991
CORN,149,STATION,224 NORTH MAIN STREET,HORSEHEADS,NY,14845,42.1774191,-76.8188095
NPIT,150,STATION,300 TOMLINSON ROAD,ZELIENOPLE,PA,16063,40.7581363,-80.1055174
PITT,152,STATION,2702 NEVILLE ROAD,PITTSBURGH,PA,15225,40.5015937,-80.0908449
CLTN,153,ANNEX,2291 SWEENEY DRIVE,CLINTON,PA,15026,40.49727395,-80.29462165
GRBG,156,STATION,2000 LABONTE DRIVE,HUNKER,PA,15639,40.2136536,-79.6190233
DUBO,158,STATION,6 INDUSTRIAL DRIVE,DU BOIS,PA,15801,41.1328881,-78.7328302
OILC,163,STATION,1715 DEBENCE DRIVE,FRANKLIN,PA,16323,41.3535536,-79.8673962
ERIE,165,STATION,7500 BIRKMIRE DRIVE,FAIRVIEW,PA,16415,42.0244844,-80.19200124
ALTO,166,STATION,231 THEATER DRIVE,DUNCANSVILLE,PA,16635,40.4404576,-78.4408751
HRBG,170,HUB,510 INDUSTRIAL DRIVE,LEWISBERRY,PA,17339,40.1645187,-76.83909965
HRBL,171,HUB LOCAL,510 INDUSTRIAL DRIVE,LEWISBERRY,PA,17339,40.1645187,-76.83909965
CARL,172,STATION,951 CENTERVILLE ROAD,NEWVILLE,PA,17241,40.154788,-77.381177
EHRB,176,STATION,111 FULLING MILL ROAD,MIDDLETOWN,PA,17057,40.21457,-74.917125
